Best Params,Best CV Accuracy
"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.8788410444342649
"{'classifier__C': 100, 'classifier__gamma': 0.01}",0.9532867613376087
"{'classifier__estimator__max_depth': 9, 'classifier__learning_rate': 0.7, 'classifier__n_estimators': 200}",0.9817315620705452
